P:N1,P:N2,净利润,年化收益率%
45,48,0,0
45,49,0,0
45,50,0,0
46,1,0,0
46,2,1806677.58,147.81
46,3,1722354.05,140.91
46,4,1581691.09,130.31
46,5,1618114.6,133.32
46,6,1581691.09,130.31
46,7,1639875.48,135.11
46,8,1639875.48,135.11
46,9,1618114.6,133.32
46,10,1639875.48,135.11
46,11,1639875.48,135.11
46,12,1459963.56,120.29
46,13,1459963.56,120.29
46,14,1438202.69,118.49
46,15,1401779.18,115.49
46,16,1333052.16,110.61
46,17,1417779.31,117.64
46,18,1417779.31,117.64
46,19,1266151.38,105.06
46,20,1373860.51,113.99
46,21,1493021.38,123.88
46,22,1493021.38,123.88
46,23,1441626.38,119.62
46,24,1615110.77,133.07
46,25,1762306.98,144.18
46,26,1762306.98,144.18
46,27,1762306.98,144.18
46,28,1787344.49,146.23
46,29,1614222.64,133.94
46,30,1638909.98,135.99
46,31,0,0
46,32,0,0
46,33,0,0
46,34,0,0
46,35,0,0
46,36,0,0
46,37,0,0
46,38,0,0
46,39,0,0
46,40,0,0
46,41,0,0
46,42,0,0
46,43,0,0
46,44,0,0
46,45,0,0
46,46,0,0
46,47,0,0
46,48,0,0
46,49,0,0
46,50,0,0
47,1,0,0
47,2,2076994.34,169.93
47,3,2134468.44,174.63
47,4,1752050.4,144.35
47,5,1993805.48,164.27
47,6,1993805.48,164.27
47,7,1752050.4,144.35
47,8,1993805.48,164.27
47,9,1993805.48,164.27
47,10,1993805.48,164.27
47,11,1993805.48,164.27
47,12,1623443.84,133.75
47,13,1623443.84,133.75
47,14,1623443.84,133.75
47,15,1605279.45,132.26
47,16,1536552.44,127.49
47,17,1417779.31,117.64
47,18,1396468.66,115.87
47,19,1266151.38,105.06
47,20,1373860.51,113.99
47,21,1493021.38,123.88
47,22,1493021.38,123.88
47,23,1441626.38,119.62
47,24,1615110.77,133.07
47,25,1762306.98,144.18
47,26,1762306.98,144.18
47,27,1762306.98,144.18
47,28,1787344.49,146.23
47,29,1614222.64,133.94
47,30,1638909.98,135.99
47,31,0,0
47,32,0,0
47,33,0,0
47,34,0,0
47,35,0,0
47,36,0,0
47,37,0,0
47,38,0,0
47,39,0,0
47,40,0,0
47,41,0,0
47,42,0,0
47,43,0,0
47,44,0,0
47,45,0,0
47,46,0,0
47,47,0,0
47,48,0,0
47,49,0,0
47,50,0,0
48,1,0,0
48,2,2243976.51,183.59
48,3,2134468.44,174.63
48,4,1752050.4,144.35
48,5,1752050.4,144.35
48,6,1752050.4,144.35
48,7,1752050.4,144.35
48,8,1752050.4,144.35
48,9,1993805.48,164.27
48,10,1993805.48,164.27
48,11,1752050.4,144.35
48,12,1605279.45,132.26
48,13,1605279.45,132.26
48,14,1605279.45,132.26
48,15,1605279.45,132.26
48,16,1417779.31,117.64
48,17,1417779.31,117.64
48,18,1396468.66,115.87
48,19,1266151.38,105.06
48,20,1373860.51,113.99
48,21,1493021.38,123.88
48,22,1493021.38,123.88
48,23,1441626.38,119.62
48,24,1615110.77,133.07
48,25,1762306.98,144.18
48,26,1762306.98,144.18
48,27,1762306.98,144.18
48,28,1773037.34,145.06
48,29,1614222.64,133.94
48,30,1638909.98,135.99
48,31,0,0
48,32,0,0
48,33,0,0
48,34,0,0
48,35,0,0
48,36,0,0
48,37,0,0
48,38,0,0
48,39,0,0
48,40,0,0
48,41,0,0
48,42,0,0
48,43,0,0
48,44,0,0
48,45,0,0
48,46,0,0
48,47,0,0
48,48,0,0
48,49,0,0
48,50,0,0
49,1,0,0
49,2,1999822.64,163.61
49,3,1892713.36,154.85
49,4,1752050.4,144.35
49,5,1752050.4,144.35
49,6,1752050.4,144.35
49,7,1752050.4,144.35
49,8,1752050.4,144.35
49,9,1752050.4,144.35
49,10,1752050.4,144.35
49,11,1752050.4,144.35
49,12,1486506.33,122.47
49,13,1486506.33,122.47
49,14,1486506.33,122.47
49,15,1486506.33,122.47
49,16,1417779.31,117.64
49,17,1417779.31,117.64
49,18,1396468.66,115.87
49,19,1266151.38,105.06
49,20,1373860.51,113.99
49,21,1493021.38,123.88
49,22,1493021.38,123.88
49,23,1574860.63,129.75
49,24,1705848.79,139.56
49,25,1762306.98,144.18
49,26,1762306.98,144.18
49,27,1762306.98,144.18
49,28,1773037.34,145.06
49,29,1614222.64,133.94
49,30,1638909.98,135.99
49,31,0,0
49,32,0,0
49,33,0,0
49,34,0,0
49,35,0,0
49,36,0,0
49,37,0,0
49,38,0,0
49,39,0,0
49,40,0,0
49,41,0,0
49,42,0,0
49,43,0,0
49,44,0,0
49,45,0,0
49,46,0,0
49,47,0,0
49,48,0,0
49,49,0,0
49,50,0,0
50,1,0,0
50,2,1999822.64,163.61
50,3,1892713.36,154.85
50,4,1564233.33,129.79
50,5,1752050.4,144.35
50,6,1752050.4,144.35
50,7,1752050.4,144.35
50,8,1752050.4,144.35
50,9,1752050.4,144.35
50,10,1752050.4,144.35
50,11,1752050.4,144.35
50,12,1486506.33,122.47
50,13,1486506.33,122.47
50,14,1486506.33,122.47
50,15,1417779.31,117.64
50,16,1417779.31,117.64
50,17,1417779.31,117.64
50,18,1396468.66,115.87
50,19,1266151.38,105.06
50,20,1373860.51,113.99
50,21,1493021.38,123.88
50,22,1493021.38,123.88
50,23,1574860.63,129.75
50,24,1705848.79,139.56
50,25,1762306.98,144.18
50,26,1762306.98,144.18
50,27,1762306.98,144.18
50,28,1773037.34,145.06
50,29,1614222.64,133.94
50,30,1638909.98,135.99
50,31,0,0
50,32,0,0
50,33,0,0
50,34,0,0
50,35,0,0
50,36,0,0
50,37,0,0
50,38,0,0
50,39,0,0
50,40,0,0
50,41,0,0
50,42,0,0
50,43,0,0
50,44,0,0
50,45,0,0
50,46,0,0
50,47,0,0
50,48,0,0
50,49,0,0
50,50,0,0
